DEBUG> 23:00:22/887  ========================= CONTROLLER-START =========================
DEBUG> 23:00:22/888  **** Start controller #0 robotcontroller.Test
DEB#0> 23:00:22/889  Manipulator Redundant arm with 5DOF + wrist, location (0.0 0.0 0.0 ), orientation 0.0°
DEB#0> 23:00:22/894  moveWristTo 40.0 -40.0 50.0 0.0° -90.0° 45.0°
DEB#0> 23:00:22/959  Wait movement to complete TEST von Obadaaa
DEB#0> 23:00:25/950  Movement completed
DEB#0> 23:00:25/952  moveWristLinearTo 40.0 -40.0 30.0 0.0° -90.0° 45.0°
DEB#0> 23:00:25/975  Wait movement to complete
DEB#0> 23:00:27/170  Movement completed
DEB#0> 23:00:27/578  moveWristLinearTo 40.0 -40.0 70.0 0.0° -90.0° 45.0°
DEB#0> 23:00:27/608  Wait movement to complete
DEB#0> 23:00:29/924  Movement completed
DEB#0> 23:00:29/924  moveWristLinearTo 40.0 -40.0 70.0 0.0° 0.0° 0.0°
DEB#0> 23:00:29/925  Wait movement to complete
DEB#0> 23:00:33/390  Movement completed
DEB#0> 23:00:33/390  moveWristLinearTo 40.0 -40.0 70.0 0.0° -90.0° 45.0°
DEB#0> 23:00:33/391  Wait movement to complete
DEB#0> 23:00:36/860  Movement completed
DEB#0> 23:00:37/623  moveWristTo 60.0 20.0 50.0 0.0° -90.0° 45.0°
DEB#0> 23:00:37/668  Wait movement to complete TEST von Obadaaa
DEB#0> 23:00:39/904  Movement completed
DEB#0> 23:00:39/905  moveWristLinearTo 60.0 20.0 30.0 0.0° -90.0° 45.0°
DEB#0> 23:00:39/921  Wait movement to complete
DEB#0> 23:00:40/920  Movement completed
DEB#0> 23:00:41/681  moveWristLinearTo 60.0 20.0 70.0 0.0° -90.0° 45.0°
DEB#0> 23:00:41/712  Wait movement to complete
DEB#0> 23:00:43/708  Movement completed
DEB#0> 23:00:43/709  moveWristLinearTo 60.0 20.0 70.0 0.0° 0.0° 0.0°
DEB#0> 23:00:43/709  Wait movement to complete
DEB#0> 23:00:47/364  Movement completed
DEB#0> 23:00:47/365  moveWristLinearTo 60.0 20.0 70.0 0.0° -90.0° 45.0°
DEB#0> 23:00:47/365  Wait movement to complete
